protocol_type,src_bytes,dst_bytes,urgent,su_attempted,num_outbound_cmds,is_hot_login,label
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
3,38,0,0,0,0,0,teardrop.
