protocol_type,src_bytes,dst_bytes,flag,diff_srv_rate,dst_host_count,wrong_fragment,label
3,38,0,1,0,73,1,teardrop.
3,38,0,1,0,74,3,teardrop.
3,38,0,1,0,75,3,teardrop.
3,38,0,1,0,76,3,teardrop.
3,38,0,1,0,77,3,teardrop.
3,38,0,1,0,78,3,teardrop.
3,38,0,1,0,79,3,teardrop.
3,38,0,1,0,80,3,teardrop.
3,38,0,1,0,81,3,teardrop.
3,38,0,1,0,83,3,teardrop.
3,38,0,1,0,83,3,teardrop.
3,38,0,1,0,84,3,teardrop.
3,38,0,1,0,85,3,teardrop.
3,38,0,1,0,86,3,teardrop.
3,38,0,1,0,87,3,teardrop.
3,38,0,1,0,88,3,teardrop.
3,38,0,1,0,89,3,teardrop.
3,38,0,1,0,90,3,teardrop.
3,38,0,1,0,91,3,teardrop.
3,38,0,1,0,93,3,teardrop.
3,38,0,1,0,93,3,teardrop.
3,38,0,1,0,94,3,teardrop.
3,38,0,1,0,95,3,teardrop.
3,38,0,1,0,96,3,teardrop.
3,38,0,1,0,97,3,teardrop.
3,38,0,1,0,98,3,teardrop.
3,38,0,1,0,99,3,teardrop.
3,38,0,1,0,100,3,teardrop.
3,38,0,1,0,101,3,teardrop.
3,38,0,1,0,103,3,teardrop.
3,38,0,1,0,103,3,teardrop.
3,38,0,1,0,104,3,teardrop.
3,38,0,1,0,105,3,teardrop.
3,38,0,1,0,106,3,teardrop.
3,38,0,1,0,107,3,teardrop.
3,38,0,1,0,108,3,teardrop.
3,38,0,1,0,109,3,teardrop.
3,38,0,1,0,110,3,teardrop.
3,38,0,1,0,111,3,teardrop.
3,38,0,1,0,113,3,teardrop.
3,38,0,1,0,113,3,teardrop.
3,38,0,1,0,114,3,teardrop.
3,38,0,1,0,115,3,teardrop.
3,38,0,1,0,116,3,teardrop.
3,38,0,1,0,117,3,teardrop.
3,38,0,1,0,118,3,teardrop.
3,38,0,1,0,119,3,teardrop.
3,38,0,1,0,130,3,teardrop.
3,38,0,1,0,131,3,teardrop.
3,38,0,1,0,133,3,teardrop.
3,38,0,1,0,133,3,teardrop.
3,38,0,1,0,134,3,teardrop.
3,38,0,1,0,135,3,teardrop.
3,38,0,1,0,136,3,teardrop.
